Record_ID,Country,ISO_Code,Join_Year,Years_In_NATO,Founding_Member,Nuclear_Sharing,Region,Capital,Area_km2,Government_Type,Alliance_Role,Year,Population_M,GDP_Billion_USD,GDP_Per_Capita_USD,Inflation_Rate_Pct,Unemployment_Rate_Pct,Defense_Budget_Billion_USD,Defense_GDP_Percent,Meets_2_Percent_Target,Active_Military_Personnel,Reserve_Personnel,Total_Military_Personnel,NATO_Contribution_Rank,Interoperability_Score,Training_Exercises_Per_Year
394,France,FRA,1949,63,Yes,Yes,Western Europe,Paris,551695,Parliamentary Republic,Full Member,2012,88.63,7958.79,89797.92,7.61,5.12,125.75,1.58,No,525149,438980,964129,6,86.4,44
395,France,FRA,1949,64,Yes,Yes,Western Europe,Paris,551695,Federal Republic,Contributing Nation,2013,90.14,7629.66,84642.33,6.05,14.41,70.19,0.92,No,90132,445101,535233,18,79.1,34
396,France,FRA,1949,65,Yes,Yes,Western Europe,Paris,551695,Parliamentary Monarchy,Full Member,2014,89.97,7473.73,83069.13,9.69,11.57,121.82,1.63,No,115056,276136,391192,23,75.4,45
397,France,FRA,1949,66,Yes,Yes,Western Europe,Paris,551695,Presidential Republic,Lead Nation,2015,89.49,8085.06,90345.96,4.13,2.17,194.85,2.41,Yes,1088254,241709,1329963,7,72.7,41
398,France,FRA,1949,67,Yes,Yes,Western Europe,Paris,551695,Presidential Republic,Lead Nation,2016,90.08,8255.87,91650.42,11.52,8.86,125.49,1.52,No,566490,247620,814110,28,68.2,25
399,France,FRA,1949,68,Yes,Yes,Western Europe,Paris,551695,Parliamentary Republic,Framework Nation,2017,90.76,7781.44,85736.45,11.76,15.72,172.75,2.22,Yes,1199833,69254,1269087,16,81.7,26
400,France,FRA,1949,69,Yes,Yes,Western Europe,Paris,551695,Presidential Republic,Contributing Nation,2018,91.63,7664.08,83641.6,0.61,10.43,271.31,3.54,Yes,993425,422902,1416327,21,90.6,21
401,France,FRA,1949,70,Yes,Yes,Western Europe,Paris,551695,Constitutional Monarchy,Lead Nation,2019,90.7,7796.49,85959.1,2.38,6.31,290.81,3.73,Yes,209065,362543,571608,7,77.5,23
402,France,FRA,1949,71,Yes,Yes,Western Europe,Paris,551695,Parliamentary Monarchy,Host Nation,2020,91.97,7877.41,85651.95,0.73,4.42,164.64,2.09,Yes,541967,180928,722895,12,98.2,20
403,France,FRA,1949,72,Yes,Yes,Western Europe,Paris,551695,Federal Republic,Host Nation,2021,92.18,8058.16,87417.66,1.4,14.27,251.41,3.12,Yes,938780,466923,1405703,11,85.0,23
404,France,FRA,1949,73,Yes,Yes,Western Europe,Paris,551695,Constitutional Monarchy,Framework Nation,2022,92.37,8207.61,88855.8,2.36,6.56,239.66,2.92,Yes,151119,41977,193096,18,83.6,27
405,France,FRA,1949,74,Yes,Yes,Western Europe,Paris,551695,Federal Republic,Host Nation,2023,93.56,8103.76,86615.65,7.25,21.31,192.06,2.37,Yes,763111,392612,1155723,12,93.3,10
406,France,FRA,1949,75,Yes,Yes,Western Europe,Paris,551695,Parliamentary Republic,Lead Nation,2024,94.05,8714.62,92659.44,2.42,4.06,268.41,3.08,Yes,169407,110900,280307,4,61.0,27
407,Germany,DEU,1955,0,No,Yes,Western Europe,Berlin,357114,Federal Republic,Framework Nation,1955,82.54,4274.2,51783.38,1.47,20.63,179.09,4.19,Yes,1297754,81908,1379662,15,69.6,20
408,Germany,DEU,1955,1,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Lead Nation,1956,83.66,4331.65,51776.83,0.9,9.14,57.18,1.32,No,359290,15479,374769,30,98.0,36
409,Germany,DEU,1955,2,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Lead Nation,1957,83.42,4745.21,56883.36,7.29,11.13,128.6,2.71,Yes,1132468,93318,1225786,20,95.4,32
410,Germany,DEU,1955,3,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Contributing Nation,1958,84.35,4604.82,54591.82,3.49,8.07,163.93,3.56,Yes,768603,216613,985216,9,73.4,32
411,Germany,DEU,1955,4,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Contributing Nation,1959,84.85,4708.92,55496.99,0.61,10.61,149.27,3.17,Yes,1001982,157582,1159564,15,91.1,37
412,Germany,DEU,1955,5,No,Yes,Western Europe,Berlin,357114,Federal Republic,Lead Nation,1960,85.38,4707.61,55137.15,2.38,16.74,106.39,2.26,Yes,829355,131517,960872,15,70.3,29
413,Germany,DEU,1955,6,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Framework Nation,1961,86.21,4984.84,57822.06,8.48,7.44,129.61,2.6,Yes,1287507,423901,1711408,27,67.3,6
414,Germany,DEU,1955,7,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Framework Nation,1962,86.35,4782.83,55388.88,3.63,14.46,88.96,1.86,No,1296972,237880,1534852,2,65.9,36
415,Germany,DEU,1955,8,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,1963,86.15,4769.89,55367.27,5.54,2.16,196.04,4.11,Yes,263726,375468,639194,1,79.2,23
416,Germany,DEU,1955,9,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,1964,86.94,5160.11,59352.54,8.51,2.63,180.09,3.49,Yes,780376,243604,1023980,4,70.4,27
417,Germany,DEU,1955,10,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Lead Nation,1965,86.82,5005.35,57652.04,4.89,2.25,122.63,2.45,Yes,525954,428974,954928,29,69.6,4
418,Germany,DEU,1955,11,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Framework Nation,1966,87.06,5202.63,59759.13,5.94,15.63,173.25,3.33,Yes,1398219,109786,1508005,11,84.5,4
419,Germany,DEU,1955,12,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,1967,87.53,5727.61,65435.96,3.94,9.21,155.22,2.71,Yes,1010711,335268,1345979,8,69.2,29
420,Germany,DEU,1955,13,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Contributing Nation,1968,88.21,5505.7,62415.83,9.58,2.18,79.83,1.45,No,252423,208017,460440,31,86.8,11
421,Germany,DEU,1955,14,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Full Member,1969,88.41,5647.33,63876.6,7.61,20.62,67.77,1.2,No,193182,360132,553314,23,85.1,36
422,Germany,DEU,1955,15,No,Yes,Western Europe,Berlin,357114,Federal Republic,Host Nation,1970,88.96,6096.37,68529.34,7.91,8.95,80.47,1.32,No,1172445,413933,1586378,2,86.9,24
423,Germany,DEU,1955,16,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Contributing Nation,1971,89.03,6151.22,69091.54,3.89,15.94,106.42,1.73,No,919004,293589,1212593,12,81.2,22
424,Germany,DEU,1955,17,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Framework Nation,1972,90.87,6267.86,68976.12,1.29,5.1,113.45,1.81,No,1164413,84566,1248979,24,77.7,42
425,Germany,DEU,1955,18,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Full Member,1973,91.38,6182.01,67651.67,4.69,14.4,205.24,3.32,Yes,1301177,449725,1750902,25,67.4,45
426,Germany,DEU,1955,19,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Full Member,1974,91.31,6281.2,68789.84,7.87,4.21,170.85,2.72,Yes,678041,215355,893396,3,92.6,10
427,Germany,DEU,1955,20,No,Yes,Western Europe,Berlin,357114,Federal Republic,Lead Nation,1975,90.8,6102.37,67206.72,0.87,14.84,61.02,1.0,No,403349,52275,455624,17,61.9,16
428,Germany,DEU,1955,21,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Lead Nation,1976,92.73,6592.71,71095.76,6.15,19.8,74.5,1.13,No,439255,344301,783556,4,74.1,28
429,Germany,DEU,1955,22,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Full Member,1977,91.54,6900.53,75382.67,6.58,16.69,242.9,3.52,Yes,1295302,139863,1435165,14,97.5,8
430,Germany,DEU,1955,23,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Contributing Nation,1978,92.56,6334.77,68439.61,8.05,13.4,105.16,1.66,No,406500,276376,682876,27,89.1,42
431,Germany,DEU,1955,24,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Lead Nation,1979,93.56,6888.9,73630.83,1.7,17.85,215.62,3.13,Yes,897141,463354,1360495,22,85.6,36
432,Germany,DEU,1955,25,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Lead Nation,1980,93.32,7405.38,79354.69,11.9,8.49,174.77,2.36,Yes,662427,288901,951328,28,92.2,22
433,Germany,DEU,1955,26,No,Yes,Western Europe,Berlin,357114,Federal Republic,Lead Nation,1981,93.48,7135.52,76332.05,9.06,9.2,196.94,2.76,Yes,1155434,486067,1641501,26,60.0,4
434,Germany,DEU,1955,27,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Full Member,1982,94.47,7617.78,80637.03,3.95,6.44,218.63,2.87,Yes,634507,3943,638450,18,95.8,34
435,Germany,DEU,1955,28,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Contributing Nation,1983,94.19,7298.93,77491.56,4.59,4.77,289.04,3.96,Yes,80638,241866,322504,16,69.1,21
436,Germany,DEU,1955,29,No,Yes,Western Europe,Berlin,357114,Federal Republic,Contributing Nation,1984,96.06,6928.49,72126.69,4.23,11.65,153.81,2.22,Yes,163403,379864,543267,7,83.2,21
437,Germany,DEU,1955,30,No,Yes,Western Europe,Berlin,357114,Federal Republic,Lead Nation,1985,95.45,6971.99,73043.37,9.37,8.96,248.9,3.57,Yes,118778,483826,602604,8,93.9,16
438,Germany,DEU,1955,31,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Full Member,1986,96.92,7823.51,80721.32,7.77,3.08,289.47,3.7,Yes,1330857,408091,1738948,21,81.1,11
439,Germany,DEU,1955,32,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,1987,95.84,7481.92,78066.78,9.16,13.51,239.42,3.2,Yes,825434,234131,1059565,28,71.3,27
440,Germany,DEU,1955,33,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Lead Nation,1988,96.88,7391.21,76292.42,5.09,3.7,148.56,2.01,Yes,104912,287889,392801,9,89.7,32
441,Germany,DEU,1955,34,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Host Nation,1989,97.64,7946.24,81383.04,7.58,16.71,199.45,2.51,Yes,412750,294713,707463,5,70.4,29
442,Germany,DEU,1955,35,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Contributing Nation,1990,96.96,7789.85,80340.86,4.7,5.81,307.7,3.95,Yes,868844,222557,1091401,2,90.0,12
443,Germany,DEU,1955,36,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Host Nation,1991,99.14,8646.38,87213.84,2.18,2.9,253.34,2.93,Yes,928881,327226,1256107,24,66.1,7
444,Germany,DEU,1955,37,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Full Member,1992,99.48,7755.29,77958.28,10.07,7.75,83.76,1.08,No,311201,455976,767177,20,77.6,3
445,Germany,DEU,1955,38,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Host Nation,1993,98.44,8111.29,82398.31,9.13,12.98,270.92,3.34,Yes,1147434,274842,1422276,2,74.7,44
446,Germany,DEU,1955,39,No,Yes,Western Europe,Berlin,357114,Federal Republic,Full Member,1994,98.55,8444.87,85691.22,8.51,7.43,146.94,1.74,No,422390,414262,836652,5,75.2,19
447,Germany,DEU,1955,40,No,Yes,Western Europe,Berlin,357114,Federal Republic,Host Nation,1995,99.56,8714.2,87527.12,3.86,19.67,340.73,3.91,Yes,227764,10502,238266,25,79.8,8
448,Germany,DEU,1955,41,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Full Member,1996,100.45,9114.05,90732.21,2.79,21.34,227.85,2.5,Yes,186092,98236,284328,3,69.6,35
449,Germany,DEU,1955,42,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Host Nation,1997,101.16,8494.3,83968.96,8.37,9.11,214.06,2.52,Yes,40029,182312,222341,18,91.7,42
450,Germany,DEU,1955,43,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Framework Nation,1998,102.1,8539.42,83637.81,6.88,7.6,186.16,2.18,Yes,63294,495499,558793,26,85.6,7
451,Germany,DEU,1955,44,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Lead Nation,1999,101.87,9233.71,90642.09,3.12,6.81,241.92,2.62,Yes,1313320,360435,1673755,20,95.5,23
452,Germany,DEU,1955,45,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Framework Nation,2000,102.23,8987.87,87918.13,8.37,6.05,119.54,1.33,No,1220009,284325,1504334,9,76.8,11
453,Germany,DEU,1955,46,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Framework Nation,2001,101.64,9359.11,92080.97,6.63,16.39,258.31,2.76,Yes,143716,292706,436422,10,88.4,22
454,Germany,DEU,1955,47,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Host Nation,2002,102.57,9758.37,95138.64,11.24,19.88,221.51,2.27,Yes,930547,391414,1321961,13,64.2,13
455,Germany,DEU,1955,48,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Full Member,2003,103.41,8750.13,84615.9,7.54,13.93,363.13,4.15,Yes,1271544,297793,1569337,23,63.1,32
456,Germany,DEU,1955,49,No,Yes,Western Europe,Berlin,357114,Federal Republic,Host Nation,2004,103.52,8992.73,86869.49,2.62,9.75,331.83,3.69,Yes,1363743,196562,1560305,11,67.5,4
457,Germany,DEU,1955,50,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Full Member,2005,104.88,9462.11,90218.44,9.04,21.76,387.95,4.1,Yes,867716,117182,984898,12,96.2,30
458,Germany,DEU,1955,51,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Contributing Nation,2006,104.05,10189.39,97927.82,3.34,10.1,256.77,2.52,Yes,961041,465851,1426892,25,88.1,27
459,Germany,DEU,1955,52,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Full Member,2007,105.03,9950.72,94741.69,10.57,17.74,333.35,3.35,Yes,1102988,336775,1439763,29,77.8,4
460,Germany,DEU,1955,53,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,2008,105.33,10428.1,99004.08,4.96,17.3,178.32,1.71,No,83816,292895,376711,19,77.1,21
461,Germany,DEU,1955,54,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Lead Nation,2009,104.96,10394.33,99031.35,11.07,15.8,191.26,1.84,No,618942,321958,940900,29,63.5,34
462,Germany,DEU,1955,55,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,2010,107.01,9569.35,89424.82,5.02,8.47,332.06,3.47,Yes,1147398,71439,1218837,30,83.0,14
463,Germany,DEU,1955,56,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Full Member,2011,106.12,10771.31,101501.23,8.68,5.28,129.26,1.2,No,1361663,476114,1837777,8,87.5,42
464,Germany,DEU,1955,57,No,Yes,Western Europe,Berlin,357114,Federal Republic,Full Member,2012,106.66,10132.04,94993.81,11.42,9.57,266.47,2.63,Yes,1074542,321402,1395944,11,95.6,38
465,Germany,DEU,1955,58,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Framework Nation,2013,106.6,10979.29,102995.22,9.35,3.03,411.72,3.75,Yes,304763,94277,399040,29,71.3,13
466,Germany,DEU,1955,59,No,Yes,Western Europe,Berlin,357114,Federal Republic,Contributing Nation,2014,107.1,9978.74,93172.18,3.41,11.17,132.72,1.33,No,1307103,401787,1708890,1,83.7,33
467,Germany,DEU,1955,60,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Contributing Nation,2015,108.11,10258.94,94893.53,1.41,14.0,291.35,2.84,Yes,861649,232169,1093818,18,84.2,37
468,Germany,DEU,1955,61,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Contributing Nation,2016,107.89,11238.31,104164.52,4.51,4.91,178.69,1.59,No,116977,343005,459982,20,72.9,7
469,Germany,DEU,1955,62,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Contributing Nation,2017,108.29,10176.92,93978.39,8.1,16.0,232.03,2.28,Yes,597889,320887,918776,12,97.7,39
470,Germany,DEU,1955,63,No,Yes,Western Europe,Berlin,357114,Federal Republic,Contributing Nation,2018,110.0,10754.54,97768.55,10.82,18.41,109.7,1.02,No,678506,193736,872242,5,71.4,10
471,Germany,DEU,1955,64,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Full Member,2019,109.45,10489.65,95839.65,2.91,6.18,392.31,3.74,Yes,869213,275565,1144778,6,78.9,40
472,Germany,DEU,1955,65,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Framework Nation,2020,109.77,11861.5,108057.76,4.14,12.51,492.25,4.15,Yes,1278339,444990,1723329,9,84.0,33
473,Germany,DEU,1955,66,No,Yes,Western Europe,Berlin,357114,Presidential Republic,Full Member,2021,110.64,11319.88,102312.73,7.51,16.17,338.46,2.99,Yes,378792,463794,842586,8,60.9,42
474,Germany,DEU,1955,67,No,Yes,Western Europe,Berlin,357114,Parliamentary Monarchy,Host Nation,2022,110.42,11868.62,107486.14,5.26,8.68,395.23,3.33,Yes,1291894,217886,1509780,1,85.0,20
475,Germany,DEU,1955,68,No,Yes,Western Europe,Berlin,357114,Constitutional Monarchy,Framework Nation,2023,111.04,11106.28,100020.53,9.32,4.28,124.39,1.12,No,1154920,170329,1325249,26,88.3,41
476,Germany,DEU,1955,69,No,Yes,Western Europe,Berlin,357114,Parliamentary Republic,Host Nation,2024,111.22,12355.98,111094.95,8.23,20.32,450.99,3.65,Yes,710204,484040,1194244,31,66.1,31
477,Greece,GRC,1952,0,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Contributing Nation,1952,10.66,226.7,21266.42,9.04,18.7,6.05,2.67,Yes,869622,486929,1356551,21,81.7,3
478,Greece,GRC,1952,1,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Framework Nation,1953,10.82,211.28,19526.8,11.65,7.61,6.68,3.16,Yes,743043,35214,778257,25,84.4,12
479,Greece,GRC,1952,2,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Lead Nation,1954,10.83,227.89,21042.47,10.36,16.2,4.99,2.19,Yes,648012,370262,1018274,6,79.4,17
480,Greece,GRC,1952,3,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Host Nation,1955,10.82,226.86,20966.73,2.51,9.48,8.26,3.64,Yes,1102715,159001,1261716,6,77.3,3
481,Greece,GRC,1952,4,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Framework Nation,1956,10.84,246.29,22720.48,6.06,19.48,9.58,3.89,Yes,714774,484751,1199525,10,90.0,8
482,Greece,GRC,1952,5,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Full Member,1957,11.01,252.67,22949.14,8.83,11.19,10.11,4.0,Yes,279828,108077,387905,1,72.1,4
483,Greece,GRC,1952,6,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Full Member,1958,10.93,253.61,23203.11,1.03,12.41,7.25,2.86,Yes,980609,466689,1447298,20,84.9,15
484,Greece,GRC,1952,7,No,No,Southern Europe,Athens,131957,Presidential Republic,Host Nation,1959,11.03,246.18,22319.13,5.57,4.35,3.79,1.54,No,670805,405663,1076468,18,64.5,41
485,Greece,GRC,1952,8,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Contributing Nation,1960,11.14,260.03,23342.01,3.62,20.87,3.22,1.24,No,1153603,167477,1321080,16,66.7,21
486,Greece,GRC,1952,9,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Lead Nation,1961,11.17,267.43,23941.81,5.91,15.51,5.4,2.02,Yes,274284,15700,289984,4,63.4,27
487,Greece,GRC,1952,10,No,No,Southern Europe,Athens,131957,Presidential Republic,Contributing Nation,1962,11.26,256.55,22784.19,4.59,8.65,7.36,2.87,Yes,936486,323626,1260112,6,98.0,31
488,Greece,GRC,1952,11,No,No,Southern Europe,Athens,131957,Federal Republic,Lead Nation,1963,11.36,276.6,24348.59,5.74,15.69,3.35,1.21,No,983545,51493,1035038,15,97.0,11
489,Greece,GRC,1952,12,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Lead Nation,1964,11.44,293.49,25654.72,8.55,15.3,8.63,2.94,Yes,823744,96629,920373,32,61.2,32
490,Greece,GRC,1952,13,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Full Member,1965,11.47,269.31,23479.51,4.51,13.49,6.68,2.48,Yes,593436,403122,996558,26,91.9,8
491,Greece,GRC,1952,14,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Host Nation,1966,11.52,283.04,24569.44,5.11,10.27,8.6,3.04,Yes,1118748,242183,1360931,11,98.0,26
492,Greece,GRC,1952,15,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Contributing Nation,1967,11.55,277.54,24029.44,11.77,13.34,4.41,1.59,No,905683,411706,1317389,16,66.8,44
493,Greece,GRC,1952,16,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Full Member,1968,11.57,283.08,24466.72,7.31,11.26,11.24,3.97,Yes,1022037,60438,1082475,29,66.9,27
494,Greece,GRC,1952,17,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Host Nation,1969,11.68,287.78,24638.7,6.18,15.2,3.63,1.26,No,796133,172156,968289,9,94.6,42
495,Greece,GRC,1952,18,No,No,Southern Europe,Athens,131957,Federal Republic,Host Nation,1970,11.7,325.12,27788.03,3.85,14.31,11.05,3.4,Yes,951456,279031,1230487,14,86.6,22
496,Greece,GRC,1952,19,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Contributing Nation,1971,11.76,308.09,26198.13,11.8,8.89,10.84,3.52,Yes,913188,376829,1290017,1,83.8,34
497,Greece,GRC,1952,20,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Framework Nation,1972,11.72,318.03,27135.67,6.81,3.06,4.2,1.32,No,775816,472923,1248739,8,93.6,3
498,Greece,GRC,1952,21,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Host Nation,1973,11.8,315.58,26744.07,4.9,9.63,10.16,3.22,Yes,668661,373674,1042335,12,78.5,14
499,Greece,GRC,1952,22,No,No,Southern Europe,Athens,131957,Presidential Republic,Host Nation,1974,11.84,335.68,28351.35,3.82,19.45,12.35,3.68,Yes,876506,81380,957886,1,62.8,3
500,Greece,GRC,1952,23,No,No,Southern Europe,Athens,131957,Federal Republic,Contributing Nation,1975,11.97,321.6,26867.17,2.08,18.12,12.29,3.82,Yes,286242,44888,331130,28,84.3,31
501,Greece,GRC,1952,24,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Lead Nation,1976,11.97,344.29,28762.74,2.64,14.09,9.36,2.72,Yes,746633,118853,865486,16,87.8,19
502,Greece,GRC,1952,25,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Lead Nation,1977,12.01,344.85,28713.57,6.06,9.37,9.31,2.7,Yes,80908,298374,379282,6,65.5,35
503,Greece,GRC,1952,26,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Host Nation,1978,12.16,378.59,31134.05,1.4,19.8,15.71,4.15,Yes,976542,271530,1248072,31,84.6,44
504,Greece,GRC,1952,27,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Full Member,1979,12.18,383.16,31458.13,7.55,20.07,4.44,1.16,No,1217068,164339,1381407,31,77.7,32
505,Greece,GRC,1952,28,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Framework Nation,1980,12.16,369.11,30354.44,2.43,15.9,7.35,1.99,No,619358,152128,771486,17,62.4,32
506,Greece,GRC,1952,29,No,No,Southern Europe,Athens,131957,Federal Republic,Full Member,1981,12.29,374.76,30493.08,8.98,2.55,10.46,2.79,Yes,613350,424594,1037944,9,79.7,19
507,Greece,GRC,1952,30,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Host Nation,1982,12.25,363.02,29634.29,9.03,14.08,10.64,2.93,Yes,540375,7946,548321,29,74.4,13
508,Greece,GRC,1952,31,No,No,Southern Europe,Athens,131957,Presidential Republic,Contributing Nation,1983,12.35,368.7,29854.25,0.88,21.68,11.84,3.21,Yes,1107514,452443,1559957,10,92.7,28
509,Greece,GRC,1952,32,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Full Member,1984,12.4,401.46,32375.81,2.92,16.69,6.78,1.69,No,1338590,88204,1426794,17,89.5,9
510,Greece,GRC,1952,33,No,No,Southern Europe,Athens,131957,Presidential Republic,Lead Nation,1985,12.46,367.62,29504.01,11.4,20.45,8.93,2.43,Yes,1000302,391697,1391999,25,78.5,11
511,Greece,GRC,1952,34,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Full Member,1986,12.47,399.26,32017.64,8.3,21.24,9.3,2.33,Yes,942745,200780,1143525,23,97.3,29
512,Greece,GRC,1952,35,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Lead Nation,1987,12.52,409.17,32681.31,9.73,7.11,12.48,3.05,Yes,568414,140530,708944,30,90.2,17
513,Greece,GRC,1952,36,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Full Member,1988,12.55,421.7,33601.59,8.44,5.6,11.98,2.84,Yes,709092,355819,1064911,1,92.4,2
514,Greece,GRC,1952,37,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Full Member,1989,12.73,408.54,32092.69,8.84,7.04,10.74,2.63,Yes,738683,115537,854220,6,62.2,40
515,Greece,GRC,1952,38,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Host Nation,1990,12.85,428.24,33326.07,8.64,4.4,15.67,3.66,Yes,1339656,64353,1404009,25,85.6,43
516,Greece,GRC,1952,39,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Lead Nation,1991,12.89,428.35,33231.19,3.89,15.21,17.52,4.09,Yes,387927,133320,521247,18,90.0,44
517,Greece,GRC,1952,40,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Full Member,1992,12.75,446.04,34983.53,9.44,9.66,8.79,1.97,No,156683,145878,302561,17,97.3,18
518,Greece,GRC,1952,41,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Host Nation,1993,13.02,415.55,31916.28,5.02,14.91,4.7,1.13,No,422333,320473,742806,28,68.5,43
519,Greece,GRC,1952,42,No,No,Southern Europe,Athens,131957,Federal Republic,Full Member,1994,12.88,416.26,32318.32,1.31,16.55,9.82,2.36,Yes,74608,38730,113338,32,65.8,42
520,Greece,GRC,1952,43,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Contributing Nation,1995,12.97,414.76,31978.41,4.29,9.83,4.23,1.02,No,319443,367530,686973,32,78.6,27
521,Greece,GRC,1952,44,No,No,Southern Europe,Athens,131957,Federal Republic,Full Member,1996,13.13,473.03,36026.66,0.54,21.08,16.46,3.48,Yes,1134232,118908,1253140,23,73.0,21
522,Greece,GRC,1952,45,No,No,Southern Europe,Athens,131957,Parliamentary Republic,Lead Nation,1997,13.23,450.31,34037.04,6.65,21.22,13.46,2.99,Yes,191642,192051,383693,19,85.3,13
523,Greece,GRC,1952,46,No,No,Southern Europe,Athens,131957,Constitutional Monarchy,Lead Nation,1998,13.2,465.56,35269.7,4.99,4.14,19.04,4.09,Yes,628276,365342,993618,6,94.5,30
524,Greece,GRC,1952,47,No,No,Southern Europe,Athens,131957,Parliamentary Monarchy,Framework Nation,1999,13.13,482.81,36771.52,6.13,3.26,6.57,1.36,No,1244996,125534,1370530,32,80.8,30
